DATAFLOW,MEASURE: Measure,INDEX: Index,HOUSHOLD_TYPE: Household Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,BASE_PERIOD: Reference Base Period,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2003-Q3,76.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2003-Q4,76.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2004-Q1,77.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2004-Q2,78.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2004-Q3,78.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2004-Q4,79.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2005-Q1,79.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2005-Q2,80.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2005-Q3,81.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2005-Q4,81.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2006-Q1,82.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2006-Q2,84.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2006-Q3,85.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2006-Q4,85.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q1,85.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q2,86.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q3,87.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q4,88.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q1,90,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q2,91.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q3,93,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q4,92.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q1,92.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q2,91.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q3,92,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q4,92.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q1,94,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q2,95.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q3,96.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q4,96.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q1,98.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q2,99.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q3,100.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q4,100.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q1,99.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q2,100.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q3,100.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q4,100.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q1,100.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q2,100.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q3,101.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q4,102.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q1,102.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q2,103.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q3,103.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q4,103.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q1,103.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q2,104.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q3,104.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q4,104.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q1,104.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q2,105.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q3,105.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q4,105.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q1,106.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q2,106.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q3,107.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q4,108,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q1,108.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q2,108.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q3,109.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q4,110,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q1,110,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q2,110.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q3,110.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q4,111.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q1,111.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q2,108.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q3,109.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q4,110.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q1,111.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q2,111.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q3,112.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q4,113.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q1,115.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,117.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q3,120.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q4,124,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2023-Q1,126.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q2,77.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q3,78.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2007-Q4,79.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q1,80,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q2,81.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q3,82.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2008-Q4,83.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q1,84.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q2,85.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q3,86.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2009-Q4,86.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q1,87.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q2,92.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q3,95.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2010-Q4,96.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q1,97.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q2,97.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q3,98.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2011-Q4,99.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q1,100.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q2,101.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q3,102.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2012-Q4,102.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q1,104.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q2,105.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q3,106.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2013-Q4,108.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q1,111.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q2,112.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q3,114,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2014-Q4,115.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q1,116.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q2,118.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q3,119.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2015-Q4,122.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q1,123.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q2,124.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q3,126.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2016-Q4,129.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q1,130.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q2,131.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q3,134.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2017-Q4,138.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q1,139.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q2,141.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q3,143.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2018-Q4,148,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q1,148.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q2,150,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q3,152.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2019-Q4,157.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q1,159.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q2,162.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q3,164.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2020-Q4,171.3,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q1,171.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q2,172.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,20006: Alcohol and tobacco,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2021-Q3,171.7,IN: Index Numbers,,,
