LGA_NAME22,name,lat,lon
Octa Medical - Nepean Health Hub,"Suite G01/13 Barber Avenue, Kingswood",-33.7660982,150.71269270000002
Beta Medical Centre,"1/6 Bringelly Road, Kingswood",-33.7660982,150.71269270000002
Nepean Health Hub,"Nepean Health Hub, 84/88 Parker Street, Kingswood",-33.7660982,150.71269270000002
Greater West Medical Centre,"Carlisle Avenue, Mount Druitt",-33.7660982,150.8126927
Mt. Druitt Medical & Dental Centre,"22 Jirrang Close, Mount Druitt",-33.7660982,150.8126927
Mt Druitt Health Care Medical & Dental Centre,"1 Calala Street, Mount Druitt",-33.7660982,150.8126927
Mt Druitt Village Medical Centre,"15 Mount Druitt Road, Mount Druitt",-33.7660982,150.8126927
Mt Druitt Medical Hub,"MB2 Westfield Mount Druitt Crn Carlisle Ave &, Luxford Road, Mount Druitt",-33.7660982,150.8126927
The Doctors Mt Druitt Medical Hub,"Suite G6 Mt Medical Hub Westfield, Mount Druitt",-33.7660982,150.8126927
Health Care Medical centre (Medical Deputising Service),"1A Calala Street, Mount Druitt",-33.7660982,150.8126927
Cleeve Medical Centre,"11 Cleeve Close, Mount Druitt",-33.7660982,150.8126927
Pacific Medical & Dental Centre Blacktown,"23-27 First Avenue, Blacktown",-33.7660982,150.9126927
Kildare Road Medical Centre Blacktown,"36 Kildare Road, Blacktown",-33.7660982,150.9126927
Eastbrooke Blacktown GP Super Clinic,"112 Main Street, Blacktown",-33.7660982,150.9126927
Blacktown Healthcare,"3 Patrick Street, Blacktown",-33.7660982,150.9126927
Sydney Cardiology,"15, Suite 4/17 Kildare Road, Blacktown",-33.7660982,150.9126927
Blacktown Family Medical Centre,"1/117-119 Main Street, Blacktown",-33.7660982,150.9126927
Hope Medical Practice,"Suite 5 32/30 Campbell Street, Blacktown",-33.7660982,150.9126927
Healthwise Centre,"24 Main Street, Blacktown",-33.7660982,150.9126927
MetWest Eye Centre,"17 Hereward Highway, Blacktown",-33.7660982,150.9126927
Blacktown General Practice,"3101/17 Patrick Street, Blacktown",-33.7660982,150.9126927
MC Medical Centre Blacktown,"42 Main Street, Blacktown",-33.7660982,150.9126927
Chinese Medical Therapy & Health Centre,"Unit 11/16 Main Street, Blacktown",-33.7660982,150.9126927
Dr Ashraf Nashed,"4/5 Patrick Street, Blacktown",-33.7660982,150.9126927
Myhealth Blacktown Westpoint,"Shop 1040/17 Patrick Street, Blacktown",-33.7660982,150.9126927
The Injury Centre Blacktown,"12 Grafton Street, Blacktown",-33.7660982,150.9126927
AW Edwards Site Office,"1 Marcel Crescent, Blacktown",-33.7660982,150.9126927
Hills Health & Wellness,"Ground Unit 6/320 Annangrove Road, Rouse Hill",-33.6660982,150.9126927
Blayney District Hospital,"3 Osman Street, Blayney",-33.53061539999999,149.2555693
Brewarrina Multi Purpose hospital,"56 Doyle Street, Brewarrina",-29.96247,146.8611294
Thrive Medical,"170 Crystal Street, Broken Hill",-31.9595859,141.4608138
Early Childhood Health Centres,"1 Allen Street, South Hurstville",-33.9773941,151.1036621
Aya Family Healthcare After Hours,"Shop 21, Chester Square, 1 Leicester Street, Chester Hill",-33.8773941,151.0036621
Chester Hill Family Medical Practice,"100 Waldron Road, Chester Hill",-33.8773941,151.0036621
Aya Medical Centre,"Shop 17, Chester Square, 1 Leicester Street, Chester Hill",-33.8773941,151.0036621
Strathfield Private Hospital,"3 Everton Road, Strathfield",-33.8773941,151.1036621
St John of God Burwood Hospital,"13 Grantham Street, Burwood",-33.8773941,151.1036621
Burwood Westfield Medical Centre,"300/100 Burwood Road, Burwood",-33.8773941,151.1036621
Burwood Family Doctors,"134C Burwood Road, Burwood",-33.8773941,151.1036621
Burwood Specialists,"46 Burwood Road, Burwood",-33.8773941,151.1036621
Victoria Tower Medical,"3/36-38 Victoria Street East, Burwood",-33.8773941,151.1036621
Centurion Healthcare,"Suite 2A, Level 2/28 Burwood Road, Burwood",-33.8773941,151.1036621
Sydney Vasectomy Reversal Clinic,"5 Everton Road, Strathfield",-33.8773941,151.1036621
Dr Rutland Jonathan,"74/76 Burwood Road, Burwood",-33.8773941,151.1036621
Burwood MedHealth Centre,"32 Belmore Street, Burwood",-33.8773941,151.1036621
Myhealth Burwood Plaza,"Shop 48, Burwood Plaza, 42 Railway Parade, Burwood",-33.8773941,151.1036621
Cincotta Discount Chemist Burwood,"Shop 1, Ground floor/25 Belmore Street, Burwood",-33.8773941,151.1036621
Sydney Inner West Medical Centre,"25 Belmore Street, Burwood",-33.8773941,151.1036621
Dr Chow Chow,"85 Burwood Road, Burwood",-33.8773941,151.1036621
My Doctors Medical Centre,"85 Burwood Road, Burwood",-33.8773941,151.1036621
Mobile Ultrasound Sydney & Mobile Xray Sydney - for Aged Care Facilities,"Shop 2, Ultrasound Suite, 35 Belmore Street, Burwood",-33.8773941,151.1036621
Quality Care Family Doctors,"c1b/1-17 Elsie Street, Burwood",-33.8773941,151.1036621
Victoria Street Medical Centre,Australia,-33.8773941,151.1036621
Dr Joseph Macdessi,"Suite 303, Level 3/74/76 Burwood Road, Burwood",-33.8773941,151.1036621
Inner West Renal Services,"1,101A/74-76 Burwood Road, Burwood",-33.8773941,151.1036621
Hyde Park Medical Centre,"Ground Flr, 1/175 Liverpool Street, Sydney",-33.8773941,151.2036621
World Square CBD Medical Centre,"Lower Ground Level, Shop 9.09c, 644 George Street World Square Shopping Centre, Sydney",-33.8773941,151.2036621
Sydney CBD Medical Centre & Skin Cancer Clinic,"242 Castlereagh Street, Sydney",-33.8773941,151.2036621
World Citi Medical,"Level 1/722 George Street, Haymarket",-33.8773941,151.2036621
Sydney Premier Medical & Health Centre,"309 Pitt Street, Sydney",-33.8773941,151.2036621
Ping's Acupuncture,"73/1 Dixon Street, Sydney",-33.8773941,151.2036621
Smooth As Silk Laser and Cosmetic Clinic,"37 Foster Street, Surry Hills",-33.8773941,151.2036621
Myhealth Sydney CBD,"8/151 Castlereagh Street, Sydney",-33.8773941,151.2036621
Ultimo Complete Health Specialists,"217c/22-36 Mountain Street, Ultimo",-33.8773941,151.2036621
Myhealth Central Park,"Shop RB08 Lower Ground Level, Central Park Sydney 28, Broadway, Chippendale",-33.8773941,151.2036621
Ultimo Medical Practice,"82 Mountain Street, Ultimo",-33.8773941,151.2036621
Sydney Central Medical Centre,"306/451 Pitt Street, Haymarket",-33.8773941,151.2036621
Ashley and Martin,"44 Market Street, Sydney",-33.8773941,151.2036621
Central Sydney Private Hospital,"Level 5, Sussex Centre, 401 Sussex Street, Haymarket",-33.8773941,151.2036621
병원,"1/710-722 George Street, Haymarket",-33.8773941,151.2036621
Biosafe Medical & Travel Clinic,"Suite 38/650 George Street, Sydney",-33.8773941,151.2036621
Myphysio Darling Square,"Shop 1, Darling One Building, 64-66 Darling Drive, Darling Square, Sydney",-33.8773941,151.2036621
Myhealth Darling Square,"64 Darling Drive Shop 1 Darling One Building, Darling Drive, Sydney",-33.8773941,151.2036621
Haymarket Medical Dental Clinic,"5/650 George Street, Sydney",-33.8773941,151.2036621
Dr. Elisabeth Rippy,"97/99 Bathurst Street, Sydney",-33.8773941,151.2036621
Kildare Road Medical Centre Blacktown,"36 Kildare Road, Blacktown",-33.777394099999995,150.90366210000002
Eastbrooke Blacktown GP Super Clinic,"112 Main Street, Blacktown",-33.777394099999995,150.90366210000002
Blacktown Healthcare,"3 Patrick Street, Blacktown",-33.777394099999995,150.90366210000002
Sydney Cardiology,"15, Suite 4/17 Kildare Road, Blacktown",-33.777394099999995,150.90366210000002
MetWest Eye Centre,"17 Hereward Highway, Blacktown",-33.777394099999995,150.90366210000002
Hope Medical Practice,"Suite 5 32/30 Campbell Street, Blacktown",-33.777394099999995,150.90366210000002
Blacktown General Practice,"3101/17 Patrick Street, Blacktown",-33.777394099999995,150.90366210000002
Myhealth Blacktown Westpoint,"Shop 1040/17 Patrick Street, Blacktown",-33.777394099999995,150.90366210000002
Blacktown Family Medical Centre,"1/117-119 Main Street, Blacktown",-33.777394099999995,150.90366210000002
Healthwise Centre,"24 Main Street, Blacktown",-33.777394099999995,150.90366210000002
Dr Ashraf Nashed,"4/5 Patrick Street, Blacktown",-33.777394099999995,150.90366210000002
MC Medical Centre Blacktown,"42 Main Street, Blacktown",-33.777394099999995,150.90366210000002
The Injury Centre Blacktown,"12 Grafton Street, Blacktown",-33.777394099999995,150.90366210000002
Best Care Medical Clinic,"4 Lock Street, Blacktown",-33.777394099999995,150.90366210000002
Chinese Medical Therapy & Health Centre,"Unit 11/16 Main Street, Blacktown",-33.777394099999995,150.90366210000002
Myrai Medical Centre,"188 Windsor Road, Winston Hills",-33.777394099999995,151.0036621
Dr Shivani Moodley - Myrai Medical Centre,"188 Windsor Road, Winston Hills",-33.777394099999995,151.0036621
Family Medical Practice,"2 Wentworth Avenue, North Rocks",-33.777394099999995,151.0036621
Hearing Matters Australia Inc (formerly Shhh),"Ground Floor Suite 600, Australian Hearing Hub, Macquarie University",-33.777394099999995,151.1036621
Enviroequip,"Eastern Valley Way, Chatswood",-33.777394099999995,151.2036621
Camden Family Practice & Travel Medicine,"25 Broughton Street, Camden",-34.0659551,150.6935958
Camden Hospital,"61 Menangle Road, Camden",-34.0659551,150.6935958
Myhealth Macarthur Square,"Macarthur Square, Shop C21, Level 1/200 Gilchrist Drive, Campbelltown",-34.0659551,150.7935958
Picton Family Medical Centre,"T28/9-13 Margaret Street, Picton",-34.166614800000005,150.6195571
Macquarie Cottage Medical Practice,"55 Argyle Street, Picton",-34.166614800000005,150.6195571
Picton Ambulance Station,"79/81 Old Hume Highway, Picton",-34.166614800000005,150.6195571
PICTON CENTRAL MEDICAL CENTRE,"163 Argyle Street, Picton",-34.166614800000005,150.6195571
iFamily Medical Centre,"4 & 5, 171-179 Queen Street, Campbelltown",-34.0666148,150.8195571
Complete Medical Centre,"241-243 Queen Street, Campbelltown",-34.0666148,150.8195571
Queen Street General Practice,"34 Queen Street, Campbelltown",-34.0666148,150.8195571
Macarthur Paediatrics,"6a/4 Browne Street, Campbelltown",-34.0666148,150.8195571
General Practice for Children & Young Families,"23 Chamberlain Street, Campbelltown",-34.0666148,150.8195571
Healthstream Providers - Allied Health & Medical Centre,"12/14 Warby Street, Campbelltown",-34.0666148,150.8195571
My Family Medical Centre,"Shop 4/11 Patrick Street, Campbelltown",-34.0666148,150.8195571
MacPsych Counselling Services,"s15 Coogan Place, Campbelltown",-34.0666148,150.8195571
Campbelltown Central Medical Centre,"251 Queen Street, Campbelltown",-34.0666148,150.8195571
Campbelltown Medical Centre,"266-268 Queen Street, Campbelltown",-34.0666148,150.8195571
Campbelltown Queen Street Medical Centre,"1a/3-17 Queen Street, Campbelltown",-34.0666148,150.8195571
Campbelltown Skin Cancer Clinic,"296 Queen Street, Campbelltown",-34.0666148,150.8195571
Leppington Medical Centre,"Shop 2/1469 Camden Valley Way, Leppington",-33.9666148,150.8195571
Myhealth Engadine,"3/30-34 Station Street, Engadine",-34.066234,151.01535280000002
Engadine Health Care Centre,"1021 Old Princes Highway, Engadine",-34.066234,151.01535280000002
EK Medical,"3 Boronia Avenue, Engadine",-34.066234,151.01535280000002
Criniti Medical Practice,"28 The Avenue, Hurstville",-33.966234,151.1153528
Dr Ernest Tam Physician & Geriatrician Consultant,"10 Park Road, Hurstville",-33.966234,151.1153528
MedFirst Medical Centre,"6/37-43 Forest Road, Hurstville",-33.966234,151.1153528
Sydney Specialists Centre,"8/145-149 Forest Road, Hurstville",-33.966234,151.1153528
Eastbrooke Medical Centre Carlton,"354/356 Railway Parade, Carlton",-33.966234,151.1153528
Dr Zhang’s Medical Centre,"31/1 The Avenue, Hurstville",-33.966234,151.1153528
Hurstville Sacred Heart Clinic,"suite 182 level 8/10 Park Road, Hurstville",-33.966234,151.1153528
Myhealth Hurstville,"Shop 150-52, Level 1, Westfield Hurstville Cnr Cross St and, Park Road, Hurstville",-33.966234,151.1153528
Demeter Regeneration,"Suite 901, Level 9 Hurstville Plaza One, 228 Forest Road, Hurstville",-33.966234,151.1153528
Western Sydney Spinal Clinic (Dr Bonne Lee),"84 Tasman Parade, Fairfield West",-33.866234,150.91535280000002
Fairfield West Medical Centre,"84 Tasman Parade, Fairfield West",-33.866234,150.91535280000002
Wellington Road Medical Practice,"46 Wellington Road, South Granville",-33.866234,151.01535280000002
Mediplus Medical Centre Five Dock,"213 Parramatta Road, Five Dock",-33.866234,151.1153528
Dr Paul Della Torre,"Specialist.Clinic Suite 501, 49/51 Queens Road, Five Dock",-33.866234,151.1153528
Dr Rutland Jonathan,"74/76 Burwood Road, Burwood",-33.866234,151.1153528
George Street Medical Centre,"Lower Ground, 333 George Street, Sydney",-33.866234,151.2153528
Sydney Eye Hospital,"8 Macquarie Street, Sydney",-33.866234,151.2153528
City Medical Practice - Sydney,"2 York Street, Sydney",-33.866234,151.2153528
Macquarie Street Medical Practice,"Ground Floor/195 Macquarie Street, Sydney",-33.866234,151.2153528
CBD Women's Health Clinic,"Level 6/92 Pitt Street, Sydney",-33.866234,151.2153528
Dr Colin I Clement - Eye Associates,"4/187 Macquarie Street, Sydney",-33.866234,151.2153528
Centre for Hand Surgery,"L7/187 Macquarie Street, Sydney",-33.866234,151.2153528
Medical Services Committee,"187 Macquarie Street, Sydney",-33.866234,151.2153528
Specialist Forensic Psychology,"139 Macquarie Street, Sydney",-33.866234,151.2153528
Allergy Testing,"229-231 Macquarie St The William Bland Centre, Sydney",-33.866234,151.2153528
Active Muscle and Spine,"Suite 22, Level 5/88 Pitt Street, Sydney",-33.866234,151.2153528
Sydney Doctors,"Level 1/70 Pitt Street, Sydney",-33.866234,151.2153528
Sydney City Skin Cancer Clinic,"Mezzanine Level, 12 O'Connell Street, Sydney",-33.866234,151.2153528
Dr Stanley Green,"Mezzanine Level, 12 O'Connell Street, Sydney",-33.866234,151.2153528
Creative Counsel,"116 Cathedral Street, Woolloomooloo",-33.866234,151.2153528
Centurion Healthcare,"4/75-85 Crown Street, Woolloomooloo",-33.866234,151.2153528
Myhealth Sydney CBD,"8/151 Castlereagh Street, Sydney",-33.866234,151.2153528
CBD Skin Cancer Clinic,"Level 6/92 Pitt Street, Sydney",-33.866234,151.2153528
Dr Jonathan Phillips,"Level 6/65 York Street, Sydney",-33.866234,151.2153528
Francine O'Brien Kinesiologist,"Level 7/50 King Street, Sydney",-33.866234,151.2153528
Pacific Medical & Dental Centre Blacktown,"23-27 First Avenue, Blacktown",-33.766234,150.91535280000002
Eastbrooke Blacktown GP Super Clinic,"112 Main Street, Blacktown",-33.766234,150.91535280000002
Blacktown Family Medical Centre,"1/117-119 Main Street, Blacktown",-33.766234,150.91535280000002
Hope Medical Practice,"Suite 5 32/30 Campbell Street, Blacktown",-33.766234,150.91535280000002
Healthwise Centre,"24 Main Street, Blacktown",-33.766234,150.91535280000002
MetWest Eye Centre,"17 Hereward Highway, Blacktown",-33.766234,150.91535280000002
MC Medical Centre Blacktown,"42 Main Street, Blacktown",-33.766234,150.91535280000002
Chinese Medical Therapy & Health Centre,"Unit 11/16 Main Street, Blacktown",-33.766234,150.91535280000002
AW Edwards Site Office,"1 Marcel Crescent, Blacktown",-33.766234,150.91535280000002
The Injury Centre Blacktown,"12 Grafton Street, Blacktown",-33.766234,150.91535280000002
Dr Ashraf Nashed,"4/5 Patrick Street, Blacktown",-33.766234,150.91535280000002
Myhealth Blacktown Westpoint,"Shop 1040/17 Patrick Street, Blacktown",-33.766234,150.91535280000002
Blacktown General Practice,"3101/17 Patrick Street, Blacktown",-33.766234,150.91535280000002
Macquarie University Hospital,"3 Technology Place, Macquarie University",-33.766234,151.1153528
Dr Bernard Zicat,"Level 3 Suite 303/2 Technology Place, Macquarie Park",-33.766234,151.1153528
MQ Health General Practice - Macquarie University,"Macquarie University, Suite 305, Level 3/2 Technology Place, Macquarie Park",-33.766234,151.1153528
MQ Health General Practice - Marsfield,"shop 2/1 Trafalgar Place, Marsfield",-33.766234,151.1153528
Osseointegration Group of Australia,"Suite 303, Level 3/2 Technology Place, Macquarie University",-33.766234,151.1153528
Autonomy First,"MQ Health, Suite 401, Level 4/2 Technology Place, Macquarie University",-33.766234,151.1153528
MQ Health Pre-admission Clinic,"Macquarie University Clinic, Suite 306, Level 3/2 Technology Place, Macquarie Park",-33.766234,151.1153528
The Heart Care Centre,"401/2 Technology Place, Macquarie University",-33.766234,151.1153528
GenesisCare,"B2/3 Technology Place, Macquarie Park",-33.766234,151.1153528
AVMs,"2 Technology Place, Macquarie Park",-33.766234,151.1153528
Darley Street Medical Practice,"13 Darley Street, Forestville",-33.766234,151.2153528
Raby Medical Centre,"138 Thunderbolt Drive, Raby",-34.0177861,150.8263741
Bangor Medical Centre,"121, Shop 6, Bangor Shopping Centre, Yala Road, Bangor",-34.0177861,151.0263741
Liverpool Hospital,"Burnside Drive, Liverpool",-33.9177861,150.9263741
Sydney Southwest Private Hospital,"40 Bigge Street, Liverpool",-33.9177861,150.9263741
Liverpool Family Medical Centre,"279 Macquarie Street, Liverpool",-33.9177861,150.9263741
South Western Sydney Local Health District,"13 Elizabeth Street, Liverpool",-33.9177861,150.9263741
South Western Day Surgical Centre,"20-22 Bigge Street, Liverpool",-33.9177861,150.9263741
Health Services Building,Liverpool,-33.9177861,150.9263741
Liverpool Speech Pathology Centre,"3 Campbell Street, Liverpool",-33.9177861,150.9263741
WEEO WISER,"26 Bathurst Street, Liverpool",-33.9177861,150.9263741
Medical Suites for Lease,"106/161 Bigge Street, Liverpool",-33.9177861,150.9263741
Dr Ray Chin,"2/171 Bigge Street, Liverpool",-33.9177861,150.9263741
Liverpool Eye Surgery,"Ground Floor, 1 Moore Street, Liverpool",-33.9177861,150.9263741
Tigris Medical and Dental Centre,"243/245 George Street, Liverpool",-33.9177861,150.9263741
Macquarie Centres of Excellence,"21b Bathurst Street, Liverpool",-33.9177861,150.9263741
Gandangara Health Services,"64 Macquarie Street, Liverpool",-33.9177861,150.9263741
Macarthur Audiology & Hearing Services,"42/48 Bigge Street, Liverpool",-33.9177861,150.9263741
Bigge Street Medical Centre,"44/42 Bigge Street, Liverpool",-33.9177861,150.9263741
Jamaica blue liverpool hospital,"41 Goulburn Swy, Liverpool",-33.9177861,150.9263741
Dr Melvyn Polon,"Ste 20/ Medcl Cntr, 45 Goulburn Street, Liverpool",-33.9177861,150.9263741
Gastroenterology and Liver,"Clinic E (123), Level 1 Liverpool Hospital Corner of Elizabeth and, Goulburn Street, Liverpool",-33.9177861,150.9263741
Liverpool Child and Family Health Centre,"Campbell Street, Liverpool",-33.9177861,150.9263741
Bankstown Day Surgery,"67 Rickard Road, Bankstown",-33.9177861,151.0263741
Bankstown Family Medical Practice,"96 Bankstown City Plaza, Bankstown",-33.9177861,151.0263741
Bankstown Medical & Dental Centre,"67 Rickard Road, Bankstown",-33.9177861,151.0263741
Dyvest Health Care,"unit 25/256 Chapel Road, Bankstown",-33.9177861,151.0263741
Dr George Hatoum,"Shop/96 Bankstown City Plaza, Bankstown",-33.9177861,151.0263741
Health Specialists Sydney,"103/56 Kitchener Parade, Bankstown",-33.9177861,151.0263741
Advanced Health Medical & Dental Centre,"Ground Floor, 25 Restwell Street, Bankstown",-33.9177861,151.0263741
Medibuilt,"Flinders Centre, Suite 7.02/25 Restwell Street, Bankstown",-33.9177861,151.0263741
Canterbury Plaza Medical Centre,"Unit 119/2D Charles Street, Canterbury",-33.9177861,151.1263741
Earlwood General Practice,"318 Homer Street, Earlwood",-33.9177861,151.1263741
Earlwood Health and Medical Centre,"18 Clarke Street, Earlwood",-33.9177861,151.1263741
Vid's Picsography |Vids Picsography|Sydney Newborn Photographer,"6 River Road West, Parramatta",-33.8177861,151.0263741
Labora Aspac PTY Ltd.,"11/46-48 Buffalo Road, Gladesville",-33.8177861,151.1263741
Cessnock Hospital,"24 View Street, Cessnock",-32.8321587,151.3558797
Westcott Street Medical Centre,"2 Westcott Street, Cessnock",-32.8321587,151.3558797
Coffs Coast Medical,"1 Riding Place Coffs, Harbour",-30.2962013,153.1138924
Coffs Medical Centre,"42/44 Gordon Street, Coffs Harbour",-30.2962013,153.1138924
ER Medical & Surgical Services PTY LTD,"53 Moonee Street, Coffs Harbour",-30.2962013,153.1138924
Bupa Medical Visa Services,"113 West High Street, Coffs Harbour",-30.2962013,153.1138924
Dr Paul Dance Skin Cancer Clinic,"16 Scarba Street, Coffs Harbour",-30.2962013,153.1138924
Coffs Endocrinology,"18 Scarba Street, Coffs Harbour",-30.2962013,153.1138924
Almeda Health Care,"19 Gordon Street McGrath Building, Suite 1, Coffs Harbour",-30.2962013,153.1138924
Coffs Medical Specialists,"35 Gordon Street, Coffs Harbour",-30.2962013,153.1138924
Brennan Rooms,"60 Albany Street, Coffs Harbour",-30.2962013,153.1138924
