Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Culcairn Multi-Purpose Service,57 Balfour Street,,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,28,2,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,-35.667327,147.042488,"$1,792,310.70 "
Weeroona Aged Care Plus Centre,14 Trebartha Street,,BASS HILL,NSW,2197,South West Sydney,Residential,104,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.89957214,151.0034707,"$8,192,278.21 "
Oberon Multi-Purpose Service,67-75 North Street,,OBERON,NSW,2787,Central West,Multi-Purpose Service,14,8,,Western NSW Local Health District,State Government,Inner Regional Australia,-33.70539358,149.8530251,"$1,114,312.25 "
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,,BATEAU BAY,NSW,2261,Central Coast,Residential,95,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.37428044,151.4793683,"$5,911,052.39 "
Trangie Multi-Purpose Service,28 Harris Street,,TRANGIE,NSW,2823,Orana Far West,Multi-Purpose Service,21,2,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.02902357,147.9742714,"$1,454,849.95 "
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,80,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.37655678,151.4805947,"$5,326,675.70 "
Trundle Multi-Purpose Service,44 Brookview Street,,TRUNDLE,NSW,2875,Central West,Multi-Purpose Service,9,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.92132544,147.704235,"$627,664.61 "
Bupa Bateau Bay,17 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,101,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37900507,151.4785501,"$7,067,034.48 "
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street,,BELLINGEN,NSW,2454,Mid North Coast,Residential,24,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45592416,152.8964324,"$1,844,290.10 "
Uniting Narla Belmont North,21 Lentara Road,,BELMONT NORTH,NSW,2280,Hunter,Residential,40,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.02256615,151.6582985,"$2,985,515.50 "
Uniting Wesley Gardens Belrose,2b Morgan Road,,BELROSE,NSW,2085,Northern Sydney,Residential,145,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.7232747,151.2192574,"$8,302,744.77 "
St Elizabeth Home,1 Symonds Road,,DEAN PARK,NSW,2761,Western Sydney,Residential,114,,,St Elizabeth Home,Religious,Major Cities of Australia,-33.73890812,150.8617045,"$7,062,119.57 "
Harold Williams Home,267 Eyre Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,40,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.9743008,141.4626468,"$2,854,462.07 "
Aruma Lodge,Beryl Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,58,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.943575,141.485104,"$4,011,087.64 "
Byron Aged Care,1 Butler Street,,BYRON BAY,NSW,2481,Far North Coast,Residential,41,,,Byron Aged Care Limited,Charitable,Inner Regional Australia,-28.64178738,153.6107986,"$2,223,658.74 "
Paling Court Residential Aged Care,90 Werombi Road,,GRASMERE,NSW,2570,South West Sydney,Residential,140,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,"$8,039,146.51 "
IRT Lakeview Lodge,4 Ruth Place,,DALMENY,NSW,2546,Southern Highlands,Residential,36,,,Illawarra Retirement Trust,Community Based,Outer Regional Australia,-36.16733209,150.1085019,"$1,536,359.28 "
Moyne Aged Care Plus Centre (0033),161 Nangar Road,,CANOWINDRA,NSW,2804,Central West,Residential,34,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.56393702,148.6450084,"$2,424,828.42 "
IBIS Care Miranda,2c Karimbla Road,,MIRANDA,NSW,2228,South East Sydney,Residential,76,,,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.03918489,151.1141905,"$6,142,125.53 "
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street,,CASINO,NSW,2470,Far North Coast,Residential,73,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-28.872301,153.043292,"$5,311,927.65 "
Nuffield Village,284 Castle Hill Road,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,139,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73141836,151.0225907,"$7,978,368.02 "
Warrina Village Hostel,2 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,128,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,"$6,896,896.32 "
Brian King Gardens,1 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,238,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,"$11,743,461.12 "
William Beech Gardens - Waler,1 Madline Street,,CONDOBOLIN,NSW,2877,Central West,Residential,40,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-33.08173415,147.1522513,"$1,831,763.67 "
Cooinda Hostel,100 Cassilis Street,,COONABARABRAN,NSW,2357,Orana Far West,Residential,37,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27408598,149.286025,"$2,109,748.59 "
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue,,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-34.6335112,148.0183038,"$4,059,094.04 "
BaptistCare Mid Richmond Centre - Coraki,Surry Street,,CORAKI,NSW,2471,Far North Coast,Residential,49,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.994059,153.277965,"$3,643,083.16 "
Southern Cross Care Karinya Residential Aged Care,125 Guy Street,,COROWA,NSW,2646,Riverina/Murray,Residential,84,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.9886123,146.3841826,"$4,656,629.15 "
Illawarra Diggers,8 Blundell Parade,,CORRIMAL,NSW,2518,Illawarra,Residential,105,,,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,-34.36680286,150.8939735,"$7,671,925.56 "
Calvary St Paul's Retirement Community,54 River Street,,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,40,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-31.90175824,152.5187223,"$3,015,008.07 "
Southern Cross Care Orana Residential Aged Care,59 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,50,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.52969114,144.9607788,"$3,868,659.31 "
Merton Court Hostel,91 Virginia Street,,DENMAN,NSW,2328,Hunter,Residential,17,,,Merton Living Limited,Community Based,Inner Regional Australia,-32.38966725,150.6845241,"$1,495,187.14 "
Catholic Healthcare St Mary's Villa,46 Darling Street,,DUBBO,NSW,2830,Orana Far West,Residential,49,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.23852825,148.608666,"$2,094,971.37 "
Maybanke Aged Care Plus Centre,80 Wardell Road,,DULWICH HILL,NSW,2203,Inner West,Residential,38,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.90848368,151.1437203,"$2,833,803.91 "
Wesley Tebbutt,40 A Stewart Street,,DUNDAS VALLEY,NSW,2117,Western Sydney,Residential,66,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.79859,151.06059,"$3,925,319.98 "
BaptistCare Cooinda Court,159 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,68,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.777251,151.11049,"$5,241,312.84 "
Catholic Healthcare Jemalong Residential Village,240 Edward Street,,FORBES,NSW,2871,Central West,Residential,130,,,Catholic Healthcare Limited,Charitable,Outer Regional Australia,-33.35872232,147.9904663,"$6,974,205.37 "
Alexander Campbell House,51 Cook Street,,FORESTVILLE,NSW,2087,Northern Sydney,Residential,36,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-33.76389603,151.2189432,"$2,654,931.63 "
Uniting Caroona Jarman Goonellabah,65-101 Rous Road,,GOONELLABAH,NSW,2480,Far North Coast,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82564046,153.3203039,"$6,568,846.94 "
Hunters Hill Village,8 D'aram Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,35,,,Twilight House,Community Based,Major Cities of Australia,-33.83368739,151.1523822,"$2,405,906.82 "
Gill Waminda Aged Care Plus Centre,4 Mary Street,,GOULBURN,NSW,2580,Southern Highlands,Residential,103,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-34.76210651,149.6982514,"$7,024,854.71 "
Catholic Healthcare St Francis Aged Care,226 Arthur Street,,GRAFTON,NSW,2460,Far North Coast,Residential,48,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-29.67275546,152.9371529,"$3,215,702.71 "
Southern Cross Care St Catherine's Residential Aged Care,126 North Street,,GRAFTON,NSW,2460,Far North Coast,Residential,63,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-29.67088759,152.941198,"$3,720,498.78 "
The Pioneers Lodge,15-23 Sidlow Road,,GRIFFITH,NSW,2680,Riverina/Murray,Residential,95,,,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,-34.29702039,146.0405675,"$5,455,106.92 "
HammondCare - Bond House,11-23 Judd Avenue,,HAMMONDVILLE,NSW,2170,South West Sydney,Residential,174,,,HammondCare,Charitable,Major Cities of Australia,-33.950558,150.959081,"$11,503,937.43 "
The Whiddon Group - Hornsby,Gate 5 2 Lowe Road,,HORNSBY,NSW,2077,Northern Sydney,Residential,59,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.7010696,151.1133028,"$2,444,019.48 "
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,52,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.83397475,151.1420162,"$3,668,192.66 "
Catholic Healthcare St Bedes Home,2 Russell Lane,,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,44,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.97533351,151.1110823,"$2,989,195.01 "
McLean Care Ltd,67 Killean Street,,INVERELL,NSW,2360,New England,Residential,138,,,McLean Care Ltd,Charitable,Outer Regional Australia,-29.76043511,151.1354318,"$10,280,667.99 "
Vincent Court,88 Leith Street,,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,88,,,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.06106274,152.8256826,"$4,367,712.01 "
Blue Haven Bonaira,14 Bonaira Street,,KIAMA,NSW,2533,Illawarra,Residential,134,,,The Council of the Municipality of Kiama,Local Government,Inner Regional Australia,-34.682516,150.850041,"$7,612,026.88 "
Catholic Healthcare Bethlehem House,30 Montgomery Street,,KOGARAH,NSW,2217,South East Sydney,Residential,29,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96392074,151.1345997,"$2,500,078.93 "
The Whiddon Group - Kyogle,1 George Street,,KYOGLE,NSW,2474,Far North Coast,Residential,70,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.62575475,153.001548,"$4,544,917.38 "
St Basil's Lakemba,300 Haldon Street,,LAKEMBA,NSW,2195,Inner West,Residential,195,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92661622,151.0808402,"$11,914,291.86 "
Uniting Kamilaroi Lane Cove,155 Longueville Road,,LANE COVE,NSW,2066,Northern Sydney,Residential,74,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8170108,151.1697732,"$4,833,990.31 "
Uniting Annesley Haberfield,1 Haberfield Road,,HABERFIELD,NSW,2045,Inner West,Residential,88,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88647264,151.141152,"$7,332,988.73 "
Uniting The Marion Leichhardt,237 Marion Street,,LEICHHARDT,NSW,2040,Inner West,Residential,134,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88361937,151.1461364,"$9,521,309.91 "
Autumn Lodge Hostel,1-3 Short Street,,MACKSVILLE,NSW,2447,Mid North Coast,Residential,95,,,NVC Group Limited,Community Based,Outer Regional Australia,-30.712147,152.919977,"$5,264,953.70 "
The Whiddon Group - Maclean,27 Union Street,,MACLEAN,NSW,2463,Far North Coast,Residential,61,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.45435382,153.2034302,"$4,646,892.45 "
RFBI Benhome Masonic Village,30 Regent Street,,MAITLAND,NSW,2320,Hunter,Residential,124,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-32.73008509,151.5454898,"$6,148,067.95 "
Brother Alberts Home,116-132 Quakers Road,,MARAYONG,NSW,2148,Western Sydney,Residential,146,,,Holy Family Services,Charitable,Major Cities of Australia,-33.74258834,150.8864461,"$9,614,809.78 "
Catholic Healthcare St James Villa,60 Lawson Street,,MATRAVILLE,NSW,2036,South East Sydney,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96297422,151.2443664,"$3,635,247.92 "
Uniting Irwin Hall Mayfield,13-15 Section Street,,MAYFIELD,NSW,2304,Hunter,Residential,38,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89599146,151.7404975,"$2,651,730.17 "
Albert Moore Gardens,10 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Residential,68,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.8920774,149.9084763,"$4,447,307.29 "
Southern Cross Care John Woodward Residential Aged Care,45 Barcom Street,,MERRYLANDS,NSW,2160,Western Sydney,Residential,118,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.83956733,150.9708538,"$8,646,475.04 "
Juliana Village,58 Miranda Road,,MIRANDA,NSW,2228,South East Sydney,Residential,73,,,Juliana Village Association Ltd,Community Based,Major Cities of Australia,-34.03672974,151.1080264,"$2,720,611.29 "
Catholic Healthcare George Mockler Hostel,99 Elimatta Road,,MONA VALE,NSW,2103,Northern Sydney,Residential,28,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.67998269,151.2969139,"$1,721,144.33 "
Whiddon Moree,Victoria Terrace,,MOREE,NSW,2400,New England,Residential,39,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-29.469656,149.839234,"$2,490,757.56 "
Calvary Muswellbrook Retirement Community,15 Cassidy Avenue,,MUSWELLBROOK,NSW,2333,Hunter,Residential,65,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.2809181,150.8919997,"$4,811,510.73 "
Wesley Taylor,156 Ocean Street,,NARRABEEN,NSW,2101,Northern Sydney,Residential,74,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.70935503,151.3012024,"$4,065,398.89 "
Uniting Osborne House Nowra,54-60 Osborne Street,,NOWRA,NSW,2541,Illawarra,Residential,107,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8750613,150.5992709,"$6,923,410.11 "
Ascott Gardens,68 Nile Street,,ORANGE,NSW,2800,Central West,Residential,78,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.28034225,149.1132343,"$5,582,841.88 "
Uniting Wontama Orange,30-38 Byng Street,,ORANGE,NSW,2800,Central West,Residential,148,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28082307,149.0902776,"$11,320,380.75 "
Rosedurnate Aged Care Plus Centre (0130),46 Orange Street,,PARKES,NSW,2870,Central West,Residential,41,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.13824782,148.1844314,"$2,433,254.72 "
Melrose Cottage Settlement,157 Bungaree Road,,PENDLE HILL,NSW,2145,Western Sydney,Residential,80,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.79989746,150.9596218,"$5,437,223.53 "
Cherrybrook Christian Care Centre,3-5 Kitchener Road,,CHERRYBROOK,NSW,2126,Northern Sydney,Residential,120,,,Christian Brethren Community Services,Charitable,Major Cities of Australia,-33.73098023,151.0559609,"$6,878,700.14 "
Uniting Locke Haven Petersham,60 New Canterbury Road,,PETERSHAM,NSW,2049,Inner West,Residential,48,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89645088,151.1548518,"$3,435,390.49 "
Aubrey Downer Aged Care Home,23 Sunnyside Avenue,,POINT CLARE,NSW,2250,Central Coast,Residential,23,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.4393194,151.3151349,"$1,329,634.01 "
BaptistCare George Forbes House,16 Erin Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,85,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-35.34599447,149.2330649,"$5,579,156.82 "
Catholic Healthcare Holy Spirit Aged Care,13 Neptune Street,,REVESBY,NSW,2212,South West Sydney,Residential,50,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96399322,151.0202047,"$2,642,701.76 "
Yallambee Village,34 Hydrae Street,,REVESBY,NSW,2212,South West Sydney,Residential,143,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.95876843,151.0197437,"$8,826,368.73 "
Uniting Bruce Sharpe Rockdale,110 Frederick Street,,ROCKDALE,NSW,2216,South East Sydney,Residential,52,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.95145788,151.1326399,"$3,258,011.22 "
Our Lady Of Consolation Home,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Residential,172,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673,"$9,323,928.56 "
Archbold House Aged Care Facility,16 Trafalgar Avenue,,ROSEVILLE,NSW,2069,Northern Sydney,Residential,61,,,KOPWA Limited,Community Based,Major Cities of Australia,-33.78071759,151.1766942,"$3,928,544.24 "
Uniting Thomas Bowden Ryde,279 Morrison Road,,RYDE,NSW,2112,Northern Sydney,Residential,47,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.81927343,151.1040452,"$3,080,031.86 "
Uniting Alroy House Singleton,128 Blaxland Avenue,,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,49,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54797262,151.1675456,"$3,639,032.66 "
Calvary Cooinda Retirement Community,42 Bathurst Street,,SINGLETON,NSW,2330,Hunter,Residential,34,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.57020846,151.1691229,"$2,538,309.72 "
Uniting Springwood,2 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Residential,136,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,"$9,236,513.97 "
Frank And Jess Kennett Home,1 A Railway Crescent,,STANWELL PARK,NSW,2508,Illawarra,Residential,44,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-34.226181,150.982722,"$2,948,997.53 "
IRT Thomas Holt Kirrawee,"1-25 Acacia Road, North",,KIRRAWEE,NSW,2232,South East Sydney,Residential,253,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.02141758,151.0678777,"$10,742,142.20 "
James Milson Village North Sydney,4 Clark Road,,NORTH SYDNEY,NSW,2060,Northern Sydney,Residential,138,,,North Sydney Retirement Trust,Community Based,Major Cities of Australia,-33.84037215,151.2146296,"$7,426,486.52 "
Catholic Healthcare Vincentian Aged Care Service,48 Yurong Street,,DARLINGHURST,NSW,2010,South East Sydney,Residential,30,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.87557328,151.214163,"$2,494,213.19 "
Wesley Vickery,101 Port Hacking Road,,SYLVANIA,NSW,2224,South East Sydney,Residential,69,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-34.0197251,151.1054378,"$3,603,994.43 "
Nazareth House Tamworth,80-104 Manilla Road,,OXLEY VALE,NSW,2340,New England,Residential,90,,,Nazareth Care,Religious,Inner Regional Australia,-31.06339605,150.9035397,"$7,183,862.83 "
RFBI Tamworth Masonic Village,16 Kitchener Street,,TAMWORTH,NSW,2340,New England,Residential,62,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.098067,150.941568,"$4,728,510.74 "
Phillip R H Chalker Sunset Lodge,49-53 Bunnaby Street,,TARALGA,NSW,2580,Southern Highlands,Residential,23,,,Crookwell/Taralga Aged Care Ltd,Community Based,Inner Regional Australia,-34.40582572,149.8211439,"$1,632,017.17 "
Alkira Lodge,2 A Bushland Drive,,TAREE,NSW,2430,Mid North Coast,Residential,89,,,Bushland Health Group Limited,Community Based,Inner Regional Australia,-31.895389,152.484865,"$4,934,056.09 "
The Whiddon Group Temora - Greenstone,37 Gloucester Street,,TEMORA,NSW,2666,Riverina/Murray,Residential,36,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-34.44336781,147.5423596,"$2,233,321.35 "
Agris Hutrof House,25 Estonian Road,,THIRLMERE,NSW,2572,South West Sydney,Residential,65,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.2020681,150.5529741,"$4,800,036.23 "
McCauley Lodge,10-12 Tasman Parade,,THIRROUL,NSW,2515,Illawarra,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-34.320638,150.923813,"$2,225,174.48 "
Constitution Hill Aged Care,3 Centenary Avenue,,NORTHMEAD,NSW,2152,Western Sydney,Residential,121,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296,"$8,031,738.08 "
Catholic Healthcare Blakeney Lodge,27-29 Carey Street,,TUMUT,NSW,2720,Riverina/Murray,Residential,30,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.29806267,148.2190017,"$2,063,118.28 "
Southern Cross Care North Turramurra Residential Aged Care,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,113,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.70083735,151.1469716,"$7,673,727.22 "
Elizabeth Lodge Hostel,79 Mt Pleasant Avenue,,NORMANHURST,NSW,2076,Northern Sydney,Residential,94,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,-33.72705723,151.0990233,"$5,778,862.12 "
